Nicotine Experiment Craving Levels 
Nicotine_wLikertFaces_cravePlot_40min_10Puff
12	FP
Craving Level:	30	09:58:24 at 20.158 s
Craving Level:	30	09:58:25 at 20.3269 s
Craving Level:	30	09:58:25 at 20.5488 s
Craving Level:	30	09:58:25 at 20.7711 s
Craving Level:	30	09:58:25 at 20.9382 s
Craving Level:	30	09:58:25 at 21.1622 s
Craving Level:	30	09:58:26 at 21.3301 s
Craving Level:	30	09:58:26 at 21.5521 s
Craving Level:	30	09:58:26 at 21.7751 s
Craving Level:	30	09:58:26 at 21.9423 s
Craving Level:	30	09:58:26 at 22.1674 s
Craving Level:	30	09:58:27 at 22.3345 s
Craving Level:	30	09:58:27 at 22.5565 s
Craving Level:	30	09:58:27 at 22.7254 s
Craving Level:	30	09:58:27 at 22.9461 s
Craving Level:	30	09:58:27 at 23.1714 s
Craving Level:	30	09:58:28 at 23.3383 s
Craving Level:	30	09:58:28 at 23.5615 s
Craving Level:	30	09:58:28 at 23.7284 s
Craving Level:	30	09:58:28 at 23.9506 s
Craving Level:	30	09:58:28 at 24.1258 s
Craving Level:	30	09:58:29 at 24.3435 s
Craving Level:	30	09:58:29 at 24.566 s
Craving Level:	30	09:58:29 at 24.7334 s
Craving Level:	30	09:58:29 at 24.9551 s
Craving Level:	30	09:58:29 at 25.1273 s
Craving Level:	30	09:58:30 at 25.346 s
Craving Level:	30	09:58:30 at 25.5686 s
Craving Level:	30	09:58:30 at 25.7366 s
Craving Level:	30	09:58:30 at 25.9599 s
Craving Level:	30	09:58:30 at 26.1283 s
Craving Level:	30	09:58:31 at 26.3498 s
Craving Level:	30	09:58:31 at 26.5735 s
Craving Level:	30	09:58:31 at 26.7412 s
Craving Level:	30	09:58:31 at 26.9626 s
Craving Level:	30	09:58:31 at 27.1317 s
Craving Level:	30	09:58:32 at 27.354 s
Craving Level:	30	09:58:32 at 27.5257 s
Craving Level:	30	09:58:32 at 27.744 s
Craving Level:	30	09:58:32 at 27.9673 s
Craving Level:	30	09:58:32 at 28.1354 s
Craving Level:	30	09:58:33 at 28.3574 s
Craving Level:	30	09:58:33 at 28.5277 s
Craving Level:	30	09:58:33 at 28.7463 s
Craving Level:	30	09:58:33 at 28.9695 s
Craving Level:	30	09:58:33 at 29.1375 s
Craving Level:	30	09:58:34 at 29.3602 s
Craving Level:	30	09:58:34 at 29.5273 s
Craving Level:	30	09:58:34 at 29.7514 s
Craving Level:	30	09:58:34 at 29.9732 s
Craving Level:	30	09:58:34 at 30.1426 s
Craving Level:	30	09:58:35 at 30.3641 s
Craving Level:	30	09:58:35 at 30.5309 s
Craving Level:	30	09:58:35 at 30.7525 s
Craving Level:	30	09:58:35 at 30.9742 s
Craving Level:	30	09:58:35 at 31.1431 s
Craving Level:	30	09:58:36 at 31.3671 s
Craving Level:	30	09:58:36 at 31.5346 s
Craving Level:	30	09:58:36 at 31.7562 s
Craving Level:	30	09:58:36 at 31.9261 s
Craving Level:	30	09:58:36 at 32.1473 s
Craving Level:	30	09:58:37 at 32.3696 s
Craving Level:	30	09:58:37 at 32.5362 s
Craving Level:	30	09:58:37 at 32.7582 s
Craving Level:	30	09:58:37 at 32.926 s
Craving Level:	30	09:58:37 at 33.1499 s
Craving Level:	30	09:58:38 at 33.3729 s
Craving Level:	30	09:58:38 at 33.5401 s
Craving Level:	30	09:58:38 at 33.7633 s
Craving Level:	30	09:58:38 at 33.9304 s
Craving Level:	30	09:58:38 at 34.153 s
Craving Level:	30	09:58:39 at 34.3757 s
Craving Level:	30	09:58:39 at 34.5429 s
Craving Level:	30	09:58:39 at 34.7656 s
Craving Level:	30	09:58:39 at 34.9321 s
Craving Level:	30	09:58:39 at 35.1554 s
Craving Level:	30	09:58:40 at 35.327 s
Craving Level:	30	09:58:40 at 35.5453 s
Craving Level:	30	09:58:40 at 35.7681 s
Craving Level:	30	09:58:40 at 35.9364 s
Craving Level:	30	09:58:40 at 36.1618 s
Craving Level:	30	09:58:41 at 36.3293 s
Craving Level:	30	09:58:41 at 36.5506 s
Craving Level:	30	09:58:41 at 36.7727 s
Craving Level:	30	09:58:41 at 36.9399 s
Craving Level:	30	09:58:41 at 37.1652 s
Craving Level:	30	09:58:42 at 37.3313 s
Craving Level:	30	09:58:42 at 37.5532 s
Craving Level:	30	09:58:42 at 37.7757 s
Craving Level:	30	09:58:42 at 37.9417 s
Craving Level:	30	09:58:42 at 38.1659 s
Craving Level:	30	09:58:43 at 38.333 s
Craving Level:	30	09:58:43 at 38.5559 s
Craving Level:	30	09:58:43 at 38.7264 s
Craving Level:	30	09:58:43 at 38.945 s
Craving Level:	30	09:58:43 at 39.1694 s
Craving Level:	30	09:58:44 at 39.337 s
Craving Level:	30	09:58:44 at 39.5585 s
Craving Level:	30	09:58:44 at 39.7262 s
Craving Level:	30	09:58:44 at 39.9479 s
Craving Level:	30	09:58:44 at 40.1721 s
Craving Level:	30	09:58:45 at 40.3394 s
Craving Level:	30	09:58:45 at 40.5615 s
Craving Level:	30	09:58:45 at 40.7278 s
Craving Level:	30	09:58:45 at 40.9501 s
Craving Level:	30	09:58:45 at 41.1751 s
Craving Level:	30	09:58:46 at 41.3416 s
Craving Level:	30	09:58:46 at 41.5646 s
Craving Level:	30	09:58:46 at 41.7319 s
Craving Level:	30	09:58:46 at 41.9537 s
Craving Level:	30	09:58:46 at 42.1269 s
Craving Level:	30	09:58:47 at 42.3447 s
Craving Level:	30	09:58:47 at 42.5683 s
Craving Level:	30	09:58:47 at 42.7357 s
Craving Level:	30	09:58:47 at 42.9579 s
Craving Level:	30	09:58:47 at 43.1273 s
Craving Level:	30	09:58:48 at 43.3502 s
Craving Level:	30	09:58:48 at 43.5725 s
Craving Level:	30	09:58:48 at 43.739 s
Craving Level:	30	09:58:48 at 43.9616 s
Craving Level:	30	09:58:48 at 44.1307 s
Craving Level:	30	09:58:49 at 44.3538 s
Craving Level:	30	09:58:49 at 44.526 s
Craving Level:	30	09:58:49 at 44.7444 s
Craving Level:	30	09:58:49 at 44.9671 s
Craving Level:	30	09:58:49 at 45.1356 s
Craving Level:	30	09:58:50 at 45.3584 s
Craving Level:	30	09:58:50 at 45.5265 s
Craving Level:	30	09:58:50 at 45.7492 s
Craving Level:	30	09:58:50 at 45.9716 s
Craving Level:	30	09:58:50 at 46.1398 s
Craving Level:	30	09:58:51 at 46.3628 s
Craving Level:	30	09:58:51 at 46.5292 s
Craving Level:	30	09:58:51 at 46.7519 s
Craving Level:	30	09:58:51 at 46.9747 s
Craving Level:	30	09:58:51 at 47.1438 s
Craving Level:	30	09:58:52 at 47.3653 s
Craving Level:	30	09:58:52 at 47.5323 s
Craving Level:	30	09:58:52 at 47.7547 s
Craving Level:	30	09:58:52 at 47.9261 s
Craving Level:	30	09:58:52 at 48.1447 s
Craving Level:	30	09:58:53 at 48.3672 s
Craving Level:	30	09:58:53 at 48.5344 s
Craving Level:	30	09:58:53 at 48.7564 s
Craving Level:	30	09:58:53 at 48.9273 s
Craving Level:	30	09:58:53 at 49.1485 s
Craving Level:	30	09:58:54 at 49.3702 s
Craving Level:	30	09:58:54 at 49.5372 s
Craving Level:	30	09:58:54 at 49.7603 s
Craving Level:	30	09:58:54 at 49.9273 s
Craving Level:	30	09:58:54 at 50.1505 s
Craving Level:	30	09:58:55 at 50.3733 s
Craving Level:	30	09:58:55 at 50.5405 s
Craving Level:	30	09:58:55 at 50.7629 s
Craving Level:	30	09:58:55 at 50.9301 s
Craving Level:	30	09:58:55 at 51.1532 s
Craving Level:	30	09:58:56 at 51.3752 s
Craving Level:	30	09:58:56 at 51.5416 s
Craving Level:	30	09:58:56 at 51.7641 s
Craving Level:	30	09:58:56 at 51.9367 s
Craving Level:	30	09:58:56 at 52.1607 s
Craving Level:	30	09:58:57 at 52.3288 s
Craving Level:	30	09:58:57 at 52.551 s
Craving Level:	30	09:58:57 at 52.7731 s
Craving Level:	30	09:58:57 at 52.9412 s
Craving Level:	30	09:58:57 at 53.1649 s
Craving Level:	30	09:58:58 at 53.332 s
Craving Level:	30	09:58:58 at 53.5549 s
Craving Level:	30	09:58:58 at 53.7255 s
Craving Level:	30	09:58:58 at 53.9453 s
Craving Level:	30	09:58:58 at 54.1686 s
Craving Level:	30	09:58:59 at 54.3366 s
Craving Level:	30	09:58:59 at 54.5582 s
Craving Level:	30	09:58:59 at 54.728 s
Craving Level:	30	09:58:59 at 54.9473 s
Craving Level:	30	09:58:59 at 55.1715 s
Craving Level:	30	09:59:00 at 55.3391 s
Craving Level:	30	09:59:00 at 55.562 s
Craving Level:	30	09:59:00 at 55.7308 s
Craving Level:	30	09:59:00 at 55.9534 s
Craving Level:	30	09:59:00 at 56.1265 s
Craving Level:	30	09:59:01 at 56.345 s
Craving Level:	30	09:59:01 at 56.5661 s
Craving Level:	30	09:59:01 at 56.7332 s
Craving Level:	30	09:59:01 at 56.9552 s
Craving Level:	30	09:59:01 at 57.1254 s
Craving Level:	30	09:59:02 at 57.3468 s
Craving Level:	30	09:59:02 at 57.5694 s
Craving Level:	30	09:59:02 at 57.7369 s
Craving Level:	30	09:59:02 at 57.9593 s
Craving Level:	30	09:59:02 at 58.1282 s
Craving Level:	30	09:59:03 at 58.3501 s
Craving Level:	30	09:59:03 at 58.5728 s
Craving Level:	30	09:59:03 at 58.7399 s
Craving Level:	30	09:59:03 at 58.9616 s
Craving Level:	30	09:59:03 at 59.129 s
Craving Level:	30	09:59:04 at 59.3513 s
Craving Level:	30	09:59:04 at 59.5727 s
Craving Level:	30	09:59:04 at 59.7406 s
Craving Level:	30	09:59:04 at 59.9633 s
Craving Level:	30	09:59:04 at 60.1346 s
Craving Level:	30	09:59:05 at 60.3588 s
Craving Level:	30	09:59:05 at 60.5257 s
Craving Level:	30	09:59:05 at 60.7483 s
Craving Level:	30	09:59:05 at 60.9703 s
Craving Level:	30	09:59:05 at 61.1386 s
Craving Level:	30	09:59:06 at 61.3616 s
Craving Level:	30	09:59:06 at 61.5293 s
Craving Level:	30	09:59:06 at 61.7516 s
Craving Level:	30	09:59:06 at 61.9733 s
Craving Level:	30	09:59:06 at 62.1427 s
Craving Level:	30	09:59:07 at 62.3647 s
Craving Level:	30	09:59:07 at 62.5313 s
Craving Level:	30	09:59:07 at 62.7529 s
Craving Level:	30	09:59:07 at 62.926 s
Craving Level:	30	09:59:07 at 63.1468 s
Craving Level:	30	09:59:08 at 63.3694 s
Craving Level:	30	09:59:08 at 63.5363 s
Craving Level:	30	09:59:08 at 63.7576 s
Craving Level:	30	09:59:08 at 63.9264 s
Craving Level:	30	09:59:08 at 64.1494 s
Craving Level:	30	09:59:09 at 64.3713 s
Craving Level:	30	09:59:09 at 64.5382 s
Craving Level:	30	09:59:09 at 64.7598 s
Craving Level:	30	09:59:09 at 64.9269 s
Craving Level:	30	09:59:09 at 65.1498 s
Craving Level:	30	09:59:10 at 65.3717 s
Craving Level:	30	09:59:10 at 65.5399 s
Craving Level:	30	09:59:10 at 65.762 s
Craving Level:	30	09:59:10 at 65.9291 s
Craving Level:	30	09:59:10 at 66.1539 s
Craving Level:	30	09:59:11 at 66.3259 s
Craving Level:	30	09:59:11 at 66.5444 s
Craving Level:	30	09:59:11 at 66.7664 s
Craving Level:	30	09:59:11 at 66.9331 s
Craving Level:	30	09:59:11 at 67.1569 s
Craving Level:	30	09:59:12 at 67.3258 s
Craving Level:	30	09:59:12 at 67.5468 s
Craving Level:	30	09:59:12 at 67.7687 s
Craving Level:	30	09:59:12 at 67.9357 s
Craving Level:	30	09:59:12 at 68.16 s
Craving Level:	30	09:59:13 at 68.3275 s
Craving Level:	30	09:59:13 at 68.5492 s
Craving Level:	30	09:59:13 at 68.7714 s
Craving Level:	30	09:59:13 at 68.9386 s
Craving Level:	30	09:59:13 at 69.1637 s
Craving Level:	30	09:59:14 at 69.3302 s
Craving Level:	30	09:59:14 at 69.5523 s
Craving Level:	30	09:59:14 at 69.7746 s
Craving Level:	30	09:59:14 at 69.9413 s
Craving Level:	30	09:59:14 at 70.1663 s
Craving Level:	30	09:59:15 at 70.3333 s
Craving Level:	30	09:59:15 at 70.556 s
Craving Level:	30	09:59:15 at 70.7273 s
Craving Level:	30	09:59:15 at 70.9455 s
Craving Level:	30	09:59:15 at 71.1702 s
Craving Level:	30	09:59:16 at 71.3373 s
Craving Level:	30	09:59:16 at 71.5596 s
Craving Level:	30	09:59:16 at 71.7273 s
Craving Level:	30	09:59:16 at 71.9483 s
Craving Level:	30	09:59:16 at 72.1729 s
Craving Level:	30	09:59:17 at 72.3394 s
Craving Level:	30	09:59:17 at 72.5629 s
Craving Level:	30	09:59:17 at 72.7299 s
Craving Level:	30	09:59:17 at 72.9519 s
Craving Level:	30	09:59:17 at 73.1259 s
Craving Level:	30	09:59:18 at 73.3434 s
Craving Level:	30	09:59:18 at 73.565 s
Craving Level:	30	09:59:18 at 73.7317 s
Craving Level:	30	09:59:18 at 73.9542 s
Craving Level:	30	09:59:18 at 74.1265 s
Craving Level:	30	09:59:19 at 74.345 s
Craving Level:	30	09:59:19 at 74.5681 s
Craving Level:	30	09:59:19 at 74.7355 s
Craving Level:	30	09:59:19 at 74.9581 s
Craving Level:	30	09:59:19 at 75.1265 s
Craving Level:	30	09:59:20 at 75.35 s
Craving Level:	30	09:59:20 at 75.5723 s
Craving Level:	30	09:59:20 at 75.7404 s
Craving Level:	30	09:59:20 at 75.9627 s
Craving Level:	30	09:59:20 at 76.1316 s
Craving Level:	30	09:59:21 at 76.3529 s
Craving Level:	30	09:59:21 at 76.5745 s
Craving Level:	30	09:59:21 at 76.7425 s
Craving Level:	30	09:59:21 at 76.966 s
Craving Level:	30	09:59:21 at 77.1346 s
Craving Level:	30	09:59:22 at 77.3572 s
Craving Level:	30	09:59:22 at 77.5274 s
Craving Level:	30	09:59:22 at 77.7461 s
Craving Level:	30	09:59:22 at 77.9681 s
Craving Level:	30	09:59:22 at 78.1374 s
Craving Level:	30	09:59:23 at 78.3594 s
Craving Level:	30	09:59:23 at 78.5275 s
Craving Level:	30	09:59:23 at 78.7524 s
Craving Level:	30	09:59:23 at 78.9745 s
Craving Level:	30	09:59:23 at 79.1439 s
Craving Level:	30	09:59:24 at 79.3654 s
Craving Level:	30	09:59:24 at 79.5325 s
Craving Level:	30	09:59:24 at 79.7545 s
Craving Level:	30	09:59:24 at 79.926 s
Craving Level:	30	09:59:24 at 80.1463 s
Craving Level:	30	09:59:25 at 80.3684 s
Craving Level:	30	09:59:25 at 80.5354 s
Craving Level:	30	09:59:25 at 80.7598 s
Craving Level:	30	09:59:25 at 80.9283 s
Craving Level:	30	09:59:25 at 81.1519 s
Craving Level:	30	09:59:26 at 81.3737 s
Craving Level:	30	09:59:26 at 81.5403 s
Craving Level:	30	09:59:26 at 81.7619 s
Craving Level:	30	09:59:26 at 81.9285 s
Craving Level:	30	09:59:26 at 82.1518 s
Craving Level:	30	09:59:27 at 82.3743 s
Craving Level:	30	09:59:27 at 82.5413 s
Craving Level:	30	09:59:27 at 82.7643 s
Craving Level:	30	09:59:27 at 82.9321 s
Craving Level:	30	09:59:27 at 83.1599 s
Craving Level:	30	09:59:28 at 83.3268 s
Craving Level:	30	09:59:28 at 83.5488 s
Craving Level:	30	09:59:28 at 83.7722 s
Craving Level:	30	09:59:28 at 83.9388 s
Craving Level:	30	09:59:28 at 84.1642 s
Craving Level:	30	09:59:29 at 84.331 s
Craving Level:	30	09:59:29 at 84.5526 s
Craving Level:	30	09:59:29 at 84.7746 s
Craving Level:	30	09:59:29 at 84.9439 s
Craving Level:	30	09:59:29 at 85.1679 s
Craving Level:	30	09:59:30 at 85.3352 s
Craving Level:	30	09:59:30 at 85.5566 s
Craving Level:	30	09:59:30 at 85.7282 s
Craving Level:	30	09:59:30 at 85.9472 s
Craving Level:	30	09:59:30 at 86.1716 s
Craving Level:	30	09:59:31 at 86.3394 s
Craving Level:	30	09:59:31 at 86.5626 s
Craving Level:	30	09:59:31 at 86.7297 s
Craving Level:	30	09:59:31 at 86.9508 s
Craving Level:	30	09:59:31 at 87.1261 s
Craving Level:	30	09:59:32 at 87.3438 s
Craving Level:	30	09:59:32 at 87.5657 s
Craving Level:	30	09:59:32 at 87.7333 s
Craving Level:	30	09:59:32 at 87.9549 s
Craving Level:	30	09:59:32 at 88.1252 s
Craving Level:	30	09:59:33 at 88.3475 s
Craving Level:	30	09:59:33 at 88.5715 s
Craving Level:	30	09:59:33 at 88.7385 s
Craving Level:	30	09:59:33 at 88.961 s
Craving Level:	30	09:59:33 at 89.1297 s
Craving Level:	30	09:59:34 at 89.3515 s
Craving Level:	30	09:59:34 at 89.5744 s
Craving Level:	30	09:59:34 at 89.7418 s
Craving Level:	30	09:59:34 at 89.9639 s
Craving Level:	30	09:59:34 at 90.1323 s
Craving Level:	30	09:59:35 at 90.3545 s
Craving Level:	30	09:59:35 at 90.5763 s
Craving Level:	30	09:59:35 at 90.7445 s
Craving Level:	30	09:59:35 at 90.9683 s
Craving Level:	30	09:59:35 at 91.1379 s
Craving Level:	30	09:59:36 at 91.3607 s
Craving Level:	30	09:59:36 at 91.5283 s
Craving Level:	30	09:59:36 at 91.7516 s
Craving Level:	30	09:59:36 at 91.9731 s
Craving Level:	30	09:59:36 at 92.1416 s
Craving Level:	30	09:59:37 at 92.3635 s
Craving Level:	30	09:59:37 at 92.5304 s
Craving Level:	30	09:59:37 at 92.7529 s
Craving Level:	30	09:59:37 at 92.9745 s
Craving Level:	30	09:59:37 at 93.1438 s
Craving Level:	30	09:59:38 at 93.3662 s
Craving Level:	30	09:59:38 at 93.5334 s
Craving Level:	30	09:59:38 at 93.7555 s
Craving Level:	30	09:59:38 at 93.9266 s
Craving Level:	30	09:59:38 at 94.1473 s
Craving Level:	30	09:59:39 at 94.3714 s
Craving Level:	30	09:59:39 at 94.5391 s
Craving Level:	30	09:59:39 at 94.7614 s
Craving Level:	30	09:59:39 at 94.9289 s
Craving Level:	30	09:59:39 at 95.1527 s
Craving Level:	30	09:59:40 at 95.3748 s
Craving Level:	30	09:59:40 at 95.5422 s
Craving Level:	30	09:59:40 at 95.765 s
Craving Level:	30	09:59:40 at 95.9319 s
Craving Level:	30	09:59:40 at 96.1573 s
Craving Level:	30	09:59:41 at 96.3278 s
Craving Level:	30	09:59:41 at 96.5457 s
Craving Level:	30	09:59:41 at 96.7675 s
Craving Level:	30	09:59:41 at 96.9355 s
Craving Level:	30	09:59:41 at 97.1608 s
Craving Level:	30	09:59:42 at 97.3269 s
Craving Level:	30	09:59:42 at 97.5489 s
Craving Level:	30	09:59:42 at 97.7714 s
Craving Level:	30	09:59:42 at 97.9386 s
Craving Level:	30	09:59:42 at 98.162 s
Craving Level:	30	09:59:43 at 98.3284 s
Craving Level:	30	09:59:43 at 98.5515 s
Craving Level:	30	09:59:43 at 98.7747 s
Craving Level:	30	09:59:43 at 98.9422 s
Craving Level:	30	09:59:43 at 99.1668 s
Craving Level:	30	09:59:44 at 99.3338 s
Craving Level:	30	09:59:44 at 99.5558 s
Craving Level:	30	09:59:44 at 99.7267 s
Craving Level:	30	09:59:44 at 99.9448 s
Craving Level:	30	09:59:44 at 100.1694 s
Craving Level:	30	09:59:45 at 100.3368 s
Craving Level:	30	09:59:45 at 100.5589 s
Craving Level:	30	09:59:45 at 100.7257 s
Craving Level:	30	09:59:45 at 100.9499 s
Craving Level:	30	09:59:45 at 101.1758 s
Craving Level:	30	09:59:46 at 101.3431 s
Craving Level:	30	09:59:46 at 101.5647 s
Craving Level:	30	09:59:46 at 101.7329 s
Craving Level:	30	09:59:46 at 101.9559 s
Craving Level:	30	09:59:46 at 102.1286 s
Craving Level:	30	09:59:47 at 102.3481 s
Craving Level:	30	09:59:47 at 102.5712 s
Craving Level:	30	09:59:47 at 102.7385 s
Craving Level:	30	09:59:47 at 102.9611 s
Craving Level:	30	09:59:47 at 103.1291 s
Craving Level:	30	09:59:48 at 103.3513 s
Craving Level:	30	09:59:48 at 103.5738 s
Craving Level:	30	09:59:48 at 103.7403 s
Craving Level:	30	09:59:48 at 103.9622 s
Craving Level:	30	09:59:48 at 104.1325 s
Craving Level:	30	09:59:49 at 104.3547 s
Craving Level:	30	09:59:49 at 104.5265 s
Craving Level:	30	09:59:49 at 104.7435 s
Craving Level:	30	09:59:49 at 104.9662 s
Craving Level:	30	09:59:49 at 105.1358 s
Craving Level:	30	09:59:50 at 105.3581 s
Craving Level:	30	09:59:50 at 105.526 s
Craving Level:	30	09:59:50 at 105.7493 s
Craving Level:	30	09:59:50 at 105.9716 s
Craving Level:	30	09:59:50 at 106.1404 s
Craving Level:	30	09:59:51 at 106.3634 s
Craving Level:	30	09:59:51 at 106.5299 s
Craving Level:	30	09:59:51 at 106.7521 s
Craving Level:	30	09:59:51 at 106.9744 s
Craving Level:	30	09:59:51 at 107.1438 s
Craving Level:	30	09:59:52 at 107.3687 s
Craving Level:	30	09:59:52 at 107.5352 s
Craving Level:	30	09:59:52 at 107.7575 s
Craving Level:	30	09:59:52 at 107.9254 s
Craving Level:	30	09:59:52 at 108.1484 s
Craving Level:	30	09:59:53 at 108.3711 s
Craving Level:	30	09:59:53 at 108.5388 s
Craving Level:	30	09:59:53 at 108.7603 s
Craving Level:	30	09:59:53 at 108.9285 s
Craving Level:	30	09:59:53 at 109.1519 s
Craving Level:	30	09:59:54 at 109.3747 s
Craving Level:	30	09:59:54 at 109.5418 s
Craving Level:	30	09:59:54 at 109.7649 s
Craving Level:	30	09:59:54 at 109.9334 s
Craving Level:	30	09:59:54 at 110.1576 s
Craving Level:	30	09:59:55 at 110.3281 s
Craving Level:	30	09:59:55 at 110.5473 s
Craving Level:	30	09:59:55 at 110.7692 s
Craving Level:	30	09:59:55 at 110.936 s
Craving Level:	30	09:59:55 at 111.161 s
Craving Level:	30	09:59:56 at 111.328 s
Craving Level:	30	09:59:56 at 111.5509 s
Craving Level:	30	09:59:56 at 111.7734 s
Craving Level:	30	09:59:56 at 111.9401 s
Craving Level:	30	09:59:56 at 112.1654 s
Craving Level:	30	09:59:57 at 112.332 s
Craving Level:	30	09:59:57 at 112.5534 s
Craving Level:	30	09:59:57 at 112.7753 s
Craving Level:	30	09:59:57 at 112.9424 s
Craving Level:	30	09:59:57 at 113.1667 s
Craving Level:	30	09:59:58 at 113.3339 s
Craving Level:	30	09:59:58 at 113.5565 s
Craving Level:	30	09:59:58 at 113.7271 s
Craving Level:	30	09:59:58 at 113.9455 s
Craving Level:	30	09:59:58 at 114.1691 s
Craving Level:	30	09:59:59 at 114.3366 s
Craving Level:	30	09:59:59 at 114.5595 s
Craving Level:	30	09:59:59 at 114.7264 s
Craving Level:	30	09:59:59 at 114.9484 s
Craving Level:	30	09:59:59 at 115.1727 s
Craving Level:	30	10:00:00 at 115.3394 s
Craving Level:	30	10:00:00 at 115.5642 s
Craving Level:	30	10:00:00 at 115.7316 s
Craving Level:	30	10:00:00 at 115.9534 s
Craving Level:	30	10:00:00 at 116.1264 s
Craving Level:	30	10:00:01 at 116.3447 s
