Nicotine Experiment Craving Levels 
Nicotine_wLikertFaces_cravePlot_40min_10Puff
LMP_NIC_19	FP
Craving Level:	82	10:45:39 at 76.1792 s
Craving Level:	82	10:45:39 at 76.3816 s
Craving Level:	82	10:45:39 at 76.6104 s
Craving Level:	82	10:45:39 at 76.7909 s
Craving Level:	82	10:45:40 at 76.9821 s
Craving Level:	82	10:45:40 at 77.2068 s
Craving Level:	82	10:45:40 at 77.3767 s
Craving Level:	82	10:45:40 at 77.6349 s
Craving Level:	82	10:45:40 at 77.8031 s
Craving Level:	82	10:45:41 at 77.9899 s
Craving Level:	82	10:45:41 at 78.225 s
Craving Level:	82	10:45:41 at 78.3996 s
Craving Level:	82	10:45:41 at 78.5881 s
Craving Level:	82	10:45:41 at 78.8125 s
Craving Level:	82	10:45:42 at 78.9871 s
Craving Level:	82	10:45:42 at 79.2191 s
Craving Level:	82	10:45:42 at 79.4137 s
Craving Level:	82	10:45:42 at 79.5997 s
Craving Level:	82	10:45:42 at 79.7805 s
Craving Level:	82	10:45:43 at 79.9801 s
Craving Level:	82	10:45:43 at 80.209 s
Craving Level:	82	10:45:43 at 80.3822 s
Craving Level:	82	10:45:43 at 80.6091 s
Craving Level:	82	10:45:43 at 80.7795 s
Craving Level:	82	10:45:44 at 81.0131 s
Craving Level:	82	10:45:44 at 81.187 s
Craving Level:	82	10:45:44 at 81.3953 s
Craving Level:	82	10:45:44 at 81.6163 s
Craving Level:	82	10:45:44 at 81.7858 s
Craving Level:	82	10:45:45 at 82.0255 s
Craving Level:	82	10:45:45 at 82.2031 s
Craving Level:	82	10:45:45 at 82.3831 s
Craving Level:	82	10:45:45 at 82.6176 s
Craving Level:	82	10:45:45 at 82.7913 s
Craving Level:	82	10:45:46 at 83.0178 s
Craving Level:	82	10:45:46 at 83.1885 s
Craving Level:	82	10:45:46 at 83.4183 s
Craving Level:	82	10:45:46 at 83.5879 s
Craving Level:	82	10:45:46 at 83.8164 s
Craving Level:	82	10:45:47 at 84.0098 s
Craving Level:	82	10:45:47 at 84.1884 s
Craving Level:	82	10:45:47 at 84.3774 s
Craving Level:	82	10:45:47 at 84.6088 s
Craving Level:	82	10:45:47 at 84.7837 s
Craving Level:	82	10:45:48 at 85.0078 s
Craving Level:	82	10:45:48 at 85.1844 s
Craving Level:	82	10:45:48 at 85.4107 s
Craving Level:	81	10:45:48 at 85.5811 s
Craving Level:	81	10:45:48 at 85.8118 s
Craving Level:	81	10:45:49 at 85.9983 s
Craving Level:	81	10:45:49 at 86.1774 s
Craving Level:	81	10:45:49 at 86.4006 s
Craving Level:	81	10:45:49 at 86.6251 s
Craving Level:	81	10:45:49 at 86.8022 s
Craving Level:	81	10:45:50 at 86.9839 s
Craving Level:	81	10:45:50 at 87.1802 s
Craving Level:	81	10:45:50 at 87.411 s
Craving Level:	80	10:45:50 at 87.5801 s
Craving Level:	80	10:45:50 at 87.8085 s
Craving Level:	80	10:45:51 at 87.9802 s
Craving Level:	79	10:45:51 at 88.1753 s
Craving Level:	79	10:45:51 at 88.3949 s
Craving Level:	79	10:45:51 at 88.5771 s
Craving Level:	79	10:45:51 at 88.8095 s
Craving Level:	79	10:45:52 at 88.9772 s
Craving Level:	79	10:45:52 at 89.2243 s
Craving Level:	79	10:45:52 at 89.4027 s
Craving Level:	79	10:45:52 at 89.5803 s
Craving Level:	79	10:45:52 at 89.8148 s
Craving Level:	79	10:45:53 at 89.9925 s
Craving Level:	79	10:45:53 at 90.1881 s
Craving Level:	78	10:45:53 at 90.3767 s
Craving Level:	77	10:45:53 at 90.6036 s
Craving Level:	77	10:45:53 at 90.7773 s
Craving Level:	76	10:45:54 at 91.008 s
Craving Level:	75	10:45:54 at 91.1849 s
Craving Level:	74	10:45:54 at 91.421 s
Craving Level:	73	10:45:54 at 91.5888 s
Craving Level:	71	10:45:54 at 91.8259 s
Craving Level:	71	10:45:55 at 91.9953 s
Craving Level:	70	10:45:55 at 92.1807 s
Craving Level:	68	10:45:55 at 92.4106 s
Craving Level:	68	10:45:55 at 92.583 s
Craving Level:	67	10:45:55 at 92.7767 s
Craving Level:	67	10:45:56 at 92.9958 s
Craving Level:	67	10:45:56 at 93.1892 s
Craving Level:	67	10:45:56 at 93.3766 s
Craving Level:	67	10:45:56 at 93.6039 s
Craving Level:	67	10:45:56 at 93.7939 s
Craving Level:	67	10:45:57 at 93.976 s
Craving Level:	67	10:45:57 at 94.2053 s
Craving Level:	67	10:45:57 at 94.3794 s
Craving Level:	67	10:45:57 at 94.6208 s
Craving Level:	67	10:45:57 at 94.7958 s
Craving Level:	67	10:45:58 at 94.9888 s
Craving Level:	67	10:45:58 at 95.2148 s
Craving Level:	67	10:45:58 at 95.3889 s
Craving Level:	67	10:45:58 at 95.5807 s
Craving Level:	67	10:45:58 at 95.8094 s
Craving Level:	67	10:45:59 at 95.9799 s
Craving Level:	67	10:45:59 at 96.2173 s
Craving Level:	67	10:45:59 at 96.4165 s
Craving Level:	67	10:45:59 at 96.6015 s
Craving Level:	67	10:45:59 at 96.7769 s
Craving Level:	67	10:46:00 at 97.0086 s
Craving Level:	67	10:46:00 at 97.1801 s
Craving Level:	67	10:46:00 at 97.4027 s
Craving Level:	67	10:46:00 at 97.5853 s
Craving Level:	67	10:46:00 at 97.817 s
Craving Level:	67	10:46:01 at 97.9977 s
Craving Level:	67	10:46:01 at 98.1799 s
Craving Level:	67	10:46:01 at 98.4081 s
Craving Level:	67	10:46:01 at 98.5938 s
Craving Level:	67	10:46:01 at 98.7836 s
Craving Level:	66	10:46:02 at 98.9764 s
Craving Level:	65	10:46:02 at 99.2211 s
Craving Level:	64	10:46:02 at 99.3933 s
Craving Level:	64	10:46:02 at 99.577 s
Craving Level:	63	10:46:02 at 99.8113 s
Craving Level:	62	10:46:03 at 99.9888 s
Craving Level:	61	10:46:03 at 100.2238 s
Craving Level:	60	10:46:03 at 100.3937 s
Craving Level:	59	10:46:03 at 100.6238 s
Craving Level:	59	10:46:03 at 100.806 s
Craving Level:	59	10:46:04 at 100.9796 s
Craving Level:	59	10:46:04 at 101.2133 s
Craving Level:	59	10:46:04 at 101.3819 s
Craving Level:	59	10:46:04 at 101.6133 s
Craving Level:	59	10:46:04 at 101.7939 s
Craving Level:	59	10:46:05 at 101.976 s
Craving Level:	59	10:46:05 at 102.2075 s
Craving Level:	59	10:46:05 at 102.3835 s
Craving Level:	59	10:46:05 at 102.577 s
Craving Level:	59	10:46:05 at 102.8119 s
Craving Level:	59	10:46:06 at 102.9843 s
Craving Level:	59	10:46:06 at 103.1894 s
Craving Level:	59	10:46:06 at 103.4135 s
Craving Level:	59	10:46:06 at 103.5981 s
Craving Level:	59	10:46:06 at 103.7786 s
Craving Level:	59	10:46:07 at 104.0087 s
Craving Level:	59	10:46:07 at 104.1992 s
Craving Level:	59	10:46:07 at 104.3766 s
Craving Level:	59	10:46:07 at 104.5975 s
Craving Level:	59	10:46:07 at 104.7769 s
Craving Level:	59	10:46:08 at 105.005 s
Craving Level:	59	10:46:08 at 105.1815 s
Craving Level:	60	10:46:08 at 105.4215 s
Craving Level:	61	10:46:08 at 105.5942 s
Craving Level:	62	10:46:08 at 105.8222 s
Craving Level:	63	10:46:09 at 106.0177 s
Craving Level:	64	10:46:09 at 106.1913 s
Craving Level:	65	10:46:09 at 106.4192 s
Craving Level:	65	10:46:09 at 106.592 s
Craving Level:	66	10:46:09 at 106.8234 s
Craving Level:	67	10:46:10 at 106.9911 s
Craving Level:	68	10:46:10 at 107.2245 s
Craving Level:	69	10:46:10 at 107.3938 s
Craving Level:	70	10:46:10 at 107.5867 s
Craving Level:	71	10:46:10 at 107.8362 s
Craving Level:	72	10:46:11 at 108.0096 s
Craving Level:	72	10:46:11 at 108.1864 s
Craving Level:	72	10:46:11 at 108.4189 s
Craving Level:	72	10:46:11 at 108.5939 s
Craving Level:	72	10:46:11 at 108.8204 s
Craving Level:	72	10:46:12 at 108.9996 s
Craving Level:	72	10:46:12 at 109.1789 s
Craving Level:	72	10:46:12 at 109.4192 s
Craving Level:	72	10:46:12 at 109.5882 s
Craving Level:	72	10:46:12 at 109.784 s
Craving Level:	72	10:46:13 at 110.0177 s
Craving Level:	72	10:46:13 at 110.2227 s
Craving Level:	72	10:46:13 at 110.4017 s
Craving Level:	72	10:46:13 at 110.5776 s
Craving Level:	72	10:46:13 at 110.8043 s
Craving Level:	73	10:46:14 at 110.9778 s
Craving Level:	73	10:46:14 at 111.2063 s
Craving Level:	74	10:46:14 at 111.3786 s
Craving Level:	74	10:46:14 at 111.6052 s
Craving Level:	75	10:46:14 at 111.7762 s
Craving Level:	76	10:46:15 at 112.0133 s
Craving Level:	76	10:46:15 at 112.185 s
Craving Level:	77	10:46:15 at 112.4264 s
Craving Level:	78	10:46:15 at 112.6101 s
Craving Level:	78	10:46:15 at 112.7845 s
Craving Level:	78	10:46:16 at 113.0243 s
Craving Level:	78	10:46:16 at 113.1949 s
Craving Level:	78	10:46:16 at 113.3831 s
Craving Level:	78	10:46:16 at 113.6311 s
Craving Level:	78	10:46:16 at 113.8002 s
Craving Level:	79	10:46:17 at 113.9905 s
Craving Level:	79	10:46:17 at 114.2223 s
Craving Level:	79	10:46:17 at 114.3911 s
Craving Level:	79	10:46:17 at 114.6322 s
Craving Level:	79	10:46:17 at 114.8052 s
Craving Level:	79	10:46:18 at 114.9777 s
Craving Level:	79	10:46:18 at 115.2083 s
Craving Level:	79	10:46:18 at 115.3834 s
Craving Level:	79	10:46:18 at 115.6179 s
Craving Level:	79	10:46:18 at 115.8003 s
Craving Level:	79	10:46:19 at 116.004 s
Craving Level:	79	10:46:19 at 116.1764 s
Craving Level:	79	10:46:19 at 116.4195 s
